; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161582,"CurrentTimeLocal","Tue Sep 15 11:19:42 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.2e-05
; "Time_ContextDestroy [ms]", 0.000199
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.014079,3.922235,3.702081,19.449093,27.297022,142.085785,10.204017,1.5843,208.371254,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.014048,3.917986,3.706061,19.467629,25.85548,148.255319,10.261847,1.550245,213.141598,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.014191,3.94515,3.759197,19.604683,27.064582,143.094842,10.260812,1.585472,209.440698,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.019266,3.966667,3.771108,19.611743,26.038513,143.458034,10.258707,1.57428,208.811936,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.013136,3.593192,3.429667,18.784647,26.73805,133.966906,10.264597,1.619213,198.519788,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.015225,3.950676,3.758582,19.602293,26.321714,130.750582,10.267299,1.536372,196.315963,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.013697,4.00259,3.769951,19.607171,26.576262,129.815739,10.26294,1.602235,195.759986,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.013412,3.995244,3.777553,19.600162,24.505334,120.423571,10.268644,1.582958,184.277044,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,15,1,"Success",0.014124,3.9424,3.7819,19.612601,24.501934,141.808398,10.205463,1.527166,205.51066,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,16,1,"Success",0.013771,3.931139,3.705926,19.439151,25.683772,147.467008,10.199359,1.515069,212.067031,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,17,1,"Success",0.013284,3.792589,3.616799,19.274951,24.232212,134.999883,10.134211,1.545181,197.718087,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,18,1,"Success",0.013456,3.822775,3.605348,19.28464,24.919227,131.68432,10.154851,1.565856,195.17396,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,19,1,"Success",0.013347,3.795745,3.643672,19.253658,25.35368,130.231945,10.20458,1.584795,194.19433,268500992,0,134217728,1.9626156318e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,0,2,"Success",0.014111,4.630202,3.948514,76.635395,273.41243,202.683171,40.382379,5.371937,607.203287,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,1,2,"Success",0.020255,4.673348,3.964698,76.864961,252.895392,177.77292,40.437758,5.295135,562.039543,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,2,2,"Success",0.013402,4.807683,4.083098,78.15275,218.053041,177.215202,40.394345,5.30466,528.137209,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,3,2,"Success",0.013623,4.720896,4.033729,77.25765,215.721498,178.364718,39.631275,5.028863,524.884457,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,4,2,"Success",0.013054,4.433728,3.729326,74.832588,243.226524,177.567154,40.407794,5.300029,549.621679,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,5,2,"Success",0.016837,4.800062,4.041903,77.165669,228.31948,177.706039,40.402294,5.311738,537.886223,1073872896,0,536870912,0,0
"Fftw","Outplace","Real","double",2,"powerof2",8192,8192,0,6,2,"Success",0.013765,4.812976,4.097071,78.187754,225.040815,177.38458,39.928497,5.118016,534.698077,1073872896,0,536870912,0,0
