; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161851,"CurrentTimeLocal","Tue Sep 15 11:24:11 2020","Hostname","taurusml24","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,6,1,"Success",0.000226,61.271845,60.14278,0.000207,0.005224,0.00617,0.00017,0.005979,121.458462,3200,0,3200,2.0436081629e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,7,1,"Success",0.000235,60.82384,59.736195,0.000197,0.005781,0.006611,0.000166,0.005802,120.60391,3200,0,3200,2.3169051442e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,8,1,"Success",0.000238,68.382029,66.062973,0.000174,0.005824,0.005382,0.000326,0.007449,134.48979,3200,0,3200,2.2230398092e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,9,1,"Success",0.000205,60.94514,59.762247,0.000176,0.005436,0.005187,0.000356,0.006265,120.749944,3200,0,3200,2.4875947898e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,10,1,"Success",0.000213,70.757675,71.238819,0.000193,0.006125,0.004933,0.000172,0.005406,142.039295,3200,0,3200,2.4292690586e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,11,1,"Success",0.000276,60.85715,59.719146,0.000175,0.005955,0.005801,0.000328,0.005848,120.619328,3200,0,3200,1.9996419895e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,12,1,"Success",0.000217,61.274161,60.082661,0.000201,0.005941,0.005394,0.00017,0.004875,121.39862,3200,0,3200,1.553357018e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,13,1,"Success",0.00023,60.779977,59.752332,0.000199,0.005748,0.006736,0.000174,0.005859,120.576397,3200,0,3200,2.3169051442e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,14,1,"Success",0.000213,61.239989,59.919284,0.000219,0.005929,0.004828,0.000344,0.006326,121.202127,3200,0,3200,1.9879923276e-17,0
"Fftw","Inplace","Complex","double",1,"radix357",200,0,0,15,1,"Success",0.000211,60.850946,59.678289,0.000191,0.005435,0.004886,0.00028,0.006158,120.572033,3200,0,3200,2.4499611163e-17,0
