; "SupportedThreads",176,"UsedThreads",22,"TotalMemory",473043369984,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600852883,"CurrentTimeLocal","Wed Sep 23 11:21:23 2020","Hostname","taurusml22","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8.9e-05
; "Time_ContextDestroy [ms]", 5.7e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,0,"Success",0.007719,14.382716,16.757783,0.30382,10.290729,2.989989,0.145368,0.1887,45.114574,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,0,"Success",0.005388,14.198079,16.692229,0.264737,1.393236,0.470228,0.146311,0.149946,33.34769,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,0,"Success",0.00029,14.340586,16.750436,0.16013,1.323083,0.470873,0.146096,0.143693,33.363456,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,0,"Success",0.000219,14.582164,17.159653,0.158771,4.605819,5.491713,0.148562,0.149976,42.325219,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,0,"Success",0.000231,14.514918,17.068164,0.159448,1.301026,0.47134,0.146589,0.150747,33.84064,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,0,"Success",0.00026,14.147692,16.672421,0.155876,1.318479,0.470098,0.147235,0.148257,33.087443,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,0,"Success",0.000244,14.150558,16.630751,0.15777,4.505545,2.066323,0.147253,0.146712,37.833092,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,0,"Success",0.000226,14.145633,16.66989,0.159565,3.059143,0.479242,0.14806,0.149792,34.840606,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,0,"Success",0.000303,14.506719,17.069008,0.159144,2.893619,0.473168,0.14725,0.148212,35.425358,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,0,"Success",0.000227,14.488128,17.046848,0.159256,2.898308,0.470666,0.147684,0.14755,35.386695,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,0,"Success",0.000256,14.412965,16.693211,0.157532,3.006963,0.472248,0.147338,0.148943,35.066835,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,0,"Success",0.000264,14.768764,17.367115,0.158453,2.773225,0.4716,0.147423,0.148348,35.863603,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,0,"Success",0.000242,14.635656,17.033303,0.158784,1.308483,0.473706,0.146899,0.146628,33.931735,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,0,"Success",0.00025,14.432499,16.683089,0.15721,2.775668,0.471501,0.14726,0.149893,34.844773,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,0,"Success",0.00033,14.769459,17.369111,0.161602,1.187286,0.47249,0.146438,0.147937,34.282483,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,0,"Success",0.000242,14.746533,17.186035,0.158309,1.442891,0.470365,0.147147,0.149208,34.328637,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,0,"Success",0.000236,14.53989,17.069523,0.158104,1.313614,0.470755,0.146823,0.149073,33.876145,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,0,"Success",0.000223,14.743023,17.111502,0.159256,4.041797,4.093886,0.146524,0.147235,40.472797,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,0,"Success",0.000213,14.763122,17.36073,0.159768,0.550836,0.478845,0.147438,0.147364,33.636006,2612288,0,2593080,1.2252147609e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,0,"Success",0.00024,14.764718,17.390642,0.16001,2.646121,0.474355,0.147177,0.148958,35.760247,2612288,0,2593080,1.2252147609e-16,0
