; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864248,"CurrentTimeLocal","Wed Sep 23 14:30:48 2020","Hostname","csk092.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,0,"Success",0.008433,11.192737,12.16851,1.38024,1.241511,0.232414,0.367716,0.402837,27.049941,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,0,"Success",0.009469,12.750656,12.196455,1.101095,0.367076,0.220801,0.338566,0.178128,27.191775,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,0,"Success",0.003454,12.747328,12.444966,0.36883,0.344559,0.234854,0.333467,0.181414,26.692025,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,0,"Success",0.003465,12.724119,12.243171,0.371504,0.35154,0.220525,0.340759,0.155686,26.439045,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,0,"Success",0.003517,12.743058,12.236922,0.376419,0.348798,0.220369,0.32689,0.163833,26.44864,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,0,"Success",0.003523,12.61852,12.300619,0.369694,0.362189,0.218504,0.319158,0.146331,26.366918,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,0,"Success",0.003474,12.612967,12.227318,0.377405,0.336523,0.219254,0.313943,0.143761,26.263009,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,0,"Success",0.003422,12.644104,12.33321,0.367262,0.353339,0.218106,0.307051,0.153939,26.412977,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,0,"Success",0.00342,12.620273,12.149907,0.371922,0.346611,0.233061,0.308451,0.141469,26.203791,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,0,"Success",0.003463,12.658095,12.228611,0.378252,0.350911,0.219978,0.308497,0.152394,26.328158,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,0,"Success",0.003473,12.641118,12.321515,0.37431,0.363063,0.218897,0.302691,0.142308,26.395502,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,0,"Success",0.003407,12.628622,12.183726,0.377509,0.352208,0.219202,0.31437,0.14074,26.247983,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,0,"Success",0.003729,12.633123,12.286534,0.369836,0.359596,0.218216,0.302526,0.145996,26.350718,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,0,"Success",0.003458,12.63971,12.174875,0.370488,0.351718,0.232737,0.301546,0.141731,26.244605,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,0,"Success",0.003428,12.662519,12.226412,0.374744,0.350906,0.217801,0.303884,0.15176,26.319988,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,0,"Success",0.003478,12.623907,12.306846,0.365116,0.363264,0.22114,0.300433,0.144528,26.357195,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,0,"Success",0.003497,12.810559,12.190268,0.366765,0.347007,0.218263,0.308583,0.142328,26.420129,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,0,"Success",0.003457,12.633893,12.268598,0.371583,0.37852,0.218119,0.305303,0.155087,26.36629,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,0,"Success",0.003449,12.616963,12.214325,0.36985,0.348473,0.234718,0.301177,0.142683,26.259946,2612288,0,2593080,1.2505218701e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,0,"Success",0.003491,12.643588,12.225366,0.374222,0.338167,0.219102,0.298753,0.148917,26.279859,2612288,0,2593080,1.2505218701e-16,0
