; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864323,"CurrentTimeLocal","Wed Sep 23 14:32:03 2020","Hostname","csk092.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,0,"Success",0.009573,12.860504,13.101726,1.731114,1.180589,0.714601,0.580001,0.458123,30.636771,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,0,"Success",0.009875,14.518297,13.142378,1.567972,0.492432,0.423987,0.546706,0.182075,30.884114,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,0,"Success",0.003546,14.358657,13.191495,0.553671,0.477194,0.406535,0.515038,0.150677,29.657296,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,0,"Success",0.003592,14.475008,13.077649,0.559163,0.490004,0.373766,0.512452,0.150778,29.642851,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,0,"Success",0.003751,14.69427,13.092072,0.570358,0.48265,0.387593,0.492871,0.151728,29.875826,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,0,"Success",0.003574,14.352072,13.170645,0.54956,0.449658,0.374759,0.479882,0.154855,29.53542,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,0,"Success",0.003531,14.491435,13.156771,0.554712,0.459706,0.336042,0.484815,0.137956,29.625409,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,0,"Success",0.003551,14.597607,13.074124,0.560699,0.451664,0.379459,0.473036,0.150102,29.690639,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,0,"Success",0.003432,14.417178,13.218801,0.564122,0.464992,0.401318,0.461165,0.141847,29.673319,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,0,"Success",0.003601,14.373698,13.077552,0.552276,0.466705,0.376054,0.462607,0.16617,29.479077,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,0,"Success",0.00354,14.344158,13.205118,0.553215,0.477611,0.387252,0.475429,0.146183,29.59293,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,0,"Success",0.003555,14.505007,13.084912,0.55608,0.451316,0.376715,0.480954,0.15764,29.616574,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,0,"Success",0.00344,14.460271,13.08192,0.560384,0.471949,0.382478,0.463216,0.13671,29.560795,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,0,"Success",0.003583,14.454253,13.075462,0.561111,0.452293,0.359876,0.454535,0.149281,29.51094,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,0,"Success",0.003527,14.391909,13.126657,0.560576,0.460198,0.39876,0.46619,0.13709,29.545327,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,0,"Success",0.003607,14.386088,13.074828,0.565958,0.44531,0.389517,0.461626,0.152867,29.480206,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,0,"Success",0.003474,14.376026,13.079885,0.560792,0.458066,0.399957,0.45768,0.142482,29.478799,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,0,"Success",0.003558,14.369289,13.07657,0.552657,0.459002,0.377482,0.45735,0.160677,29.457017,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,0,"Success",0.003545,14.349074,13.088381,0.554949,0.471413,0.387229,0.456707,0.148175,29.45989,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,0,"Success",0.003563,14.354876,13.07972,0.55313,0.460712,0.375953,0.457817,0.160201,29.446388,3678400,0,3630000,1.4334338601e-16,0
