; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161580,"CurrentTimeLocal","Tue Sep 15 11:19:40 2020","Hostname","csk042.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.6e-05
; "Time_ContextDestroy [ms]", 3e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,5,1,"Success",0.372062,3.6045,3.350022,49.723548,11.879591,98.009237,27.512096,1.160889,195.612874,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,6,1,"Success",0.362139,3.607284,3.353677,49.578516,11.87076,98.577639,27.533656,1.154736,196.039132,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,7,1,"Success",0.400249,3.620472,3.348477,49.55548,11.997229,97.951674,27.551768,1.17791,195.604453,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,8,1,"Success",0.396932,3.62207,3.34076,49.583174,11.953122,97.532727,27.513745,1.158222,195.101691,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,9,1,"Success",0.400631,3.618697,3.348705,50.064228,11.797333,98.470118,27.48454,1.157787,196.343451,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,10,1,"Success",0.361496,3.622907,3.347857,50.077553,11.901698,100.061273,27.660073,1.158763,198.19267,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,11,1,"Success",0.35443,3.609671,3.343823,50.00514,11.858455,97.844432,27.540574,1.164638,195.723246,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,12,1,"Success",0.382213,3.609592,3.361338,49.660427,11.955765,97.994525,27.507532,1.165807,195.638663,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,13,1,"Success",0.376531,3.604793,3.348464,49.544334,11.92863,98.759232,27.659362,1.179456,196.402443,268500992,0,134217728,2.7755576443e-17,0
"Fftw","Outplace","Real","double",2,"powerof2",4096,4096,0,14,1,"Success",0.387634,3.616314,3.353392,49.769682,11.887985,96.9778,27.611112,1.147523,194.75298,268500992,0,134217728,2.7755576443e-17,0
