; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864289,"CurrentTimeLocal","Wed Sep 23 14:31:29 2020","Hostname","csk092.cluster","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 8.9e-05
; "Time_ContextDestroy [ms]", 3.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,0,"Success",0.008492,17.408226,17.355139,1.360799,1.690159,0.554989,0.421091,0.39225,39.191718,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,0,"Success",0.009521,18.168949,16.246827,1.286601,0.719189,0.501767,0.393802,0.156955,37.484092,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,0,"Success",0.003438,18.123761,16.154041,0.448049,0.622893,0.541929,0.374646,0.152353,36.421578,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,0,"Success",0.003445,18.162339,16.22432,0.433166,0.628498,0.501837,0.36642,0.12652,36.447025,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,0,"Success",0.00364,18.143002,16.286686,0.434478,0.641787,0.503782,0.362313,0.154109,36.530319,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,0,"Success",0.003462,18.209665,16.153311,0.43927,0.617847,0.526565,0.35676,0.142834,36.450154,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,0,"Success",0.003471,18.198063,16.16962,0.438269,0.634046,0.519451,0.364414,0.155303,36.483076,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,0,"Success",0.003517,18.228273,16.155313,0.433564,0.621071,0.485936,0.367741,0.141526,36.437392,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,0,"Success",0.003516,18.300785,16.216113,0.42969,0.621061,0.518602,0.35901,0.154821,36.604099,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,0,"Success",0.003537,18.265286,16.326739,0.433494,0.617254,0.519602,0.360247,0.144789,36.67153,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,0,"Success",0.003492,18.175122,16.17305,0.446274,0.628458,0.486447,0.355965,0.15422,36.423507,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,0,"Success",0.003503,18.249776,16.224355,0.433545,0.625798,0.518667,0.362193,0.143537,36.561851,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,0,"Success",0.003467,18.216997,16.167665,0.43632,0.630152,0.488242,0.356511,0.156183,36.456114,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,0,"Success",0.003541,18.257757,16.20555,0.435806,0.60929,0.520184,0.352989,0.141779,36.527454,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,0,"Success",0.003491,18.225834,16.145922,0.431059,0.620876,0.520193,0.351188,0.163288,36.462349,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,0,"Success",0.003531,18.31019,16.171064,0.434422,0.624956,0.486095,0.347618,0.151869,36.530278,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,0,"Success",0.003516,18.23026,16.138149,0.44361,0.610829,0.503206,0.346137,0.152954,36.429173,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,0,"Success",0.003526,18.31518,16.146798,0.442141,0.611871,0.534923,0.350477,0.140059,36.54548,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,0,"Success",0.003503,18.111022,16.157443,0.438954,0.609339,0.505345,0.353577,0.153469,36.333107,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,0,"Success",0.003542,18.188971,16.179799,0.442618,0.610207,0.504825,0.344114,0.140352,36.414909,3037968,0,2996352,6.9603414721e-17,0
