; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404345507840,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600864270,"CurrentTimeLocal","Wed Sep 23 14:31:10 2020","Hostname","csk092.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 8.7e-05
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,0,"Success",0.009366,17.364593,17.360532,1.103047,1.69105,0.52248,0.407585,0.267094,38.785194,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,0,"Success",0.009611,18.171252,16.250077,1.535461,0.650121,0.50133,0.436368,0.14901,37.732382,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,0,"Success",0.003533,18.163814,16.211849,0.436818,0.60836,0.534527,0.392057,0.127811,36.511317,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,0,"Success",0.003485,18.198138,16.206991,0.434496,0.613163,0.502751,0.383303,0.148099,36.519407,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,0,"Success",0.003545,18.148036,16.18892,0.428428,0.615792,0.503775,0.37159,0.124956,36.413886,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,0,"Success",0.003457,18.19598,16.21857,0.426385,0.624589,0.506502,0.369148,0.152869,36.525757,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,0,"Success",0.00372,18.222692,16.225824,0.441426,0.700575,0.54369,0.374092,0.151927,36.692264,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,0,"Success",0.003561,18.154742,16.225282,0.435645,0.622461,0.538993,0.371085,0.149991,36.533028,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,0,"Success",0.003504,18.145287,16.180026,0.426547,0.62224,0.502139,0.360501,0.146481,36.415085,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,0,"Success",0.003429,18.198691,16.221414,0.42489,0.628065,0.506997,0.359798,0.150118,36.52216,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,0,"Success",0.003565,18.201526,16.210016,0.4254,0.621691,0.525595,0.35195,0.125936,36.494784,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,0,"Success",0.003451,18.262844,16.234157,0.430312,0.61009,0.515849,0.357167,0.147483,36.590064,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,0,"Success",0.003621,18.184548,16.200212,0.426689,0.627905,0.533528,0.3557,0.128693,36.492321,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,0,"Success",0.003399,18.203596,16.21394,0.431844,0.635155,0.530866,0.35287,0.153335,36.553843,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,0,"Success",0.003565,18.2212,16.231499,0.432219,0.627008,0.527066,0.350437,0.15114,36.573394,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,0,"Success",0.003596,18.205607,16.228821,0.433354,0.651665,0.483013,0.359052,0.152723,36.546661,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,0,"Success",0.003523,18.198311,16.188866,0.430602,0.620227,0.518391,0.360697,0.149446,36.49895,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,0,"Success",0.003506,18.21837,16.313859,0.425607,0.632315,0.532201,0.34554,0.152465,36.655155,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,0,"Success",0.003458,18.261265,16.195745,0.428413,0.623035,0.495123,0.380179,0.127067,36.543004,3037968,0,2996352,6.9603414721e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,0,"Success",0.00357,18.282287,16.20239,0.429446,0.612642,0.519493,0.375092,0.148227,36.60382,3037968,0,2996352,6.9603414721e-17,0
