; "SupportedThreads",80,"UsedThreads",20,"TotalMemory",404363345920,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600161943,"CurrentTimeLocal","Tue Sep 15 11:25:43 2020","Hostname","csk040.cluster","gearshifft","0.3.0-scorep"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 4.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.003538,14.374651,13.055352,0.527087,0.448762,0.398022,0.453391,0.167848,29.457027,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.003516,14.365485,13.060588,0.530726,0.455677,0.388008,0.449705,0.168648,29.450486,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.003492,14.377433,13.059925,0.530749,0.454466,0.384,0.455765,0.16906,29.467493,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.003476,14.348406,13.05772,0.529518,0.455675,0.387521,0.450259,0.169721,29.431016,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.003503,14.354427,13.057919,0.524881,0.453097,0.38689,0.448778,0.168248,29.426511,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.003468,14.359665,13.076711,0.525458,0.450202,0.389132,0.449462,0.176497,29.458666,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.003504,14.362954,13.058399,0.523145,0.442581,0.388523,0.447344,0.167236,29.42159,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.003474,14.352456,13.055826,0.525153,0.454932,0.389016,0.442643,0.167381,29.423957,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.003484,14.370281,13.124286,0.524146,0.466717,0.372854,0.444771,0.17778,29.513128,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.003526,14.339316,13.111475,0.526053,0.457806,0.370143,0.449506,0.178203,29.464341,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.003473,14.329585,13.060247,0.525131,0.465651,0.37247,0.448588,0.176985,29.410951,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.003522,14.34704,13.054802,0.518812,0.459407,0.336916,0.439943,0.168747,29.35791,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.003579,14.353598,13.151571,0.522245,0.46,0.37303,0.443691,0.179437,29.519306,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.003496,14.357144,13.058444,0.524788,0.47338,0.374044,0.443511,0.177736,29.441017,3678400,0,3630000,1.4334338601e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.412503,43.337098,45.464529,1.669071,1.917723,1.996238,0.752293,0.483125,96.061375,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.009089,44.341454,45.58394,0.914387,1.875336,2.001962,0.650914,0.209467,95.616419,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.003461,44.249465,45.366109,0.709962,1.856884,2.014659,0.540692,0.236846,95.006681,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.003551,44.244216,45.233679,0.711142,1.858031,1.974368,0.517497,0.24097,94.81673,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.003475,44.223519,45.332138,0.709538,1.869954,1.974606,0.527467,0.246946,94.916263,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.003941,44.162791,45.287282,0.720212,1.869416,2.011367,0.524553,0.243444,94.851356,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,6,4,"Success",0.00354,44.215296,45.300019,0.71467,1.858546,1.976176,0.521045,0.231199,94.848564,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,7,4,"Success",0.003525,44.335612,45.252307,0.702914,1.859505,1.976648,0.51868,0.230121,94.912102,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,8,4,"Success",0.003502,44.264804,45.255336,0.710803,1.850382,2.017182,0.530113,0.25093,94.912258,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,9,4,"Success",0.003505,44.291112,45.251767,0.717881,1.853603,1.982604,0.514849,0.240101,94.884587,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,10,4,"Success",0.003538,44.132775,45.493404,0.708864,1.853014,1.972779,0.51724,0.238623,94.948987,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,11,4,"Success",0.003552,44.252131,45.241427,0.713163,1.848666,2.008482,0.503594,0.240472,94.840124,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,12,4,"Success",0.00346,44.183658,45.294259,0.703745,1.869043,2.018619,0.515283,0.241898,94.862633,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.003505,44.22009,45.230666,0.711429,1.859739,1.977115,0.513557,0.233775,94.779121,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.003489,44.279556,45.261472,0.720426,1.866119,2.021486,0.510081,0.248274,94.939258,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.003703,44.126848,45.363121,0.719564,1.860805,1.996713,0.537274,0.231976,94.868425,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.003451,44.175734,45.386599,0.713716,1.863067,2.011341,0.510492,0.244762,94.937415,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.003514,44.171838,45.255713,0.713764,1.853744,2.025283,0.508356,0.247418,94.810703,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.003486,44.218699,45.230045,0.70082,1.856198,2.021974,0.520398,0.240734,94.821316,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.00348,44.256177,45.227813,0.709866,1.87033,2.025096,0.506066,0.248961,94.876627,4822416,0,4762880,1.4684277366e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.008843,8.043391,7.901972,0.967001,1.321571,0.193515,0.279089,0.327467,19.097736,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.012286,9.154169,8.568223,0.794797,0.31619,0.188733,0.245275,0.146863,19.455138,2041200,0,2025000,1.2852379761e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.003675,9.086194,8.662074,0.267039,0.309344,0.189284,0.232637,0.145183,18.926168,2041200,0,2025000,1.2852379761e-16,0
